psi	rP1	rP2
0.036000	2222.848189	6494.070203
0.072000	2223.183199	6491.572057
0.108000	2223.518796	6489.075824
0.144000	2223.854981	6486.581505
0.180000	2224.191752	6484.089098
0.216000	2224.529111	6481.598602
0.252000	2224.867057	6479.110016
0.288000	2225.205591	6476.623338
0.324000	2225.544713	6474.138568
0.360000	2225.884423	6471.655704
0.396000	2226.224720	6469.174746
0.432000	2226.565606	6466.695691
0.468000	2226.907079	6464.218540
0.504000	2227.249141	6461.743290
0.540000	2227.591792	6459.269941
0.576000	2227.935030	6456.798491
0.612000	2228.278858	6454.328940
0.648000	2228.623273	6451.861287
0.684000	2228.968278	6449.395529
0.720000	2229.313872	6446.931666
0.756000	2229.660055	6444.469698
0.792000	2230.006826	6442.009622
0.828000	2230.354187	6439.551438
0.864000	2230.702138	6437.095145
0.900000	2231.050678	6434.640740
0.936000	2231.399807	6432.188225
0.972000	2231.749526	6429.737596
1.008000	2232.099835	6427.288854
1.044000	2232.450733	6424.841997
1.080000	2232.802222	6422.397023
1.116000	2233.154301	6419.953933
1.152000	2233.506970	6417.512724
1.188000	2233.860229	6415.073395
1.224000	2234.214079	6412.635947
1.260000	2234.568519	6410.200376
1.296000	2234.923550	6407.766683
1.332000	2235.279172	6405.334866
1.368000	2235.635385	6402.904924
1.404000	2235.992188	6400.476856
1.440000	2236.349583	6398.050661
1.476000	2236.707569	6395.626338
1.512000	2237.066147	6393.203885
1.548000	2237.425315	6390.783302
1.584000	2237.785076	6388.364588
1.620000	2238.145428	6385.947741
1.656000	2238.506372	6383.532760
1.692000	2238.867907	6381.119645
1.728000	2239.230035	6378.708394
1.764000	2239.592755	6376.299006
1.800000	2239.956067	6373.891480
1.836000	2240.319972	6371.485815
1.872000	2240.684469	6369.082010
1.908000	2241.049558	6366.680063
1.944000	2241.415241	6364.279975
1.980000	2241.781516	6361.881743
2.016000	2242.148384	6359.485366
2.052000	2242.515845	6357.090845
2.088000	2242.883899	6354.698176
2.124000	2243.252547	6352.307360
2.160000	2243.621788	6349.918395
2.196000	2243.991623	6347.531281
2.232000	2244.362051	6345.146015
2.268000	2244.733073	6342.762598
2.304000	2245.104689	6340.381028
2.340000	2245.476898	6338.001304
2.376000	2245.849702	6335.623425
2.412000	2246.223101	6333.247389
2.448000	2246.597093	6330.873197
2.484000	2246.971680	6328.500846
2.520000	2247.346862	6326.130336
2.556000	2247.722638	6323.761666
2.592000	2248.099009	6321.394834
2.628000	2248.475975	6319.029840
2.664000	2248.853536	6316.666682
2.700000	2249.231692	6314.305360
2.736000	2249.610444	6311.945873
2.772000	2249.989791	6309.588218
2.808000	2250.369733	6307.232396
2.844000	2250.750271	6304.878406
2.880000	2251.131405	6302.526245
2.916000	2251.513135	6300.175914
2.952000	2251.895461	6297.827412
2.988000	2252.278383	6295.480736
3.024000	2252.661901	6293.135886
3.060000	2253.046016	6290.792862
3.096000	2253.430727	6288.451661
3.132000	2253.816034	6286.112284
3.168000	2254.201939	6283.774729
3.204000	2254.588440	6281.438995
3.240000	2254.975539	6279.105080
3.276000	2255.363234	6276.772985
3.312000	2255.751527	6274.442707
3.348000	2256.140417	6272.114247
3.384000	2256.529904	6269.787602
3.420000	2256.919989	6267.462772
