%arg peri (degrees),nu (degrees),V(km/s)
0.000000,0.000000,25.572960
0.000000,15.000000,25.513531
0.000000,30.000000,25.455463
0.000000,45.000000,25.397664
0.000000,60.000000,25.340187
0.000000,75.000000,25.283715
0.000000,90.000000,25.229754
0.000000,105.000000,25.181370
0.000000,120.000000,25.148793
0.000000,135.000000,25.160377
0.000000,150.000000,25.354853
0.000000,165.000000,26.030687
0.000000,180.000000,25.144207
0.000000,195.000000,25.929475
0.000000,210.000000,25.041309
0.000000,225.000000,25.619507
0.000000,240.000000,25.909036
0.000000,255.000000,25.973997
0.000000,270.000000,25.950114
0.000000,285.000000,25.894452
0.000000,300.000000,25.828986
0.000000,315.000000,25.762116
0.000000,330.000000,25.697054
0.000000,345.000000,25.633817
15.000000,0.000000,25.444258
15.000000,15.000000,25.384573
15.000000,30.000000,25.328031
15.000000,45.000000,25.273478
15.000000,60.000000,25.220986
15.000000,75.000000,25.171226
15.000000,90.000000,25.125509
15.000000,105.000000,25.086156
15.000000,120.000000,25.060155
15.000000,135.000000,25.066715
15.000000,150.000000,25.226451
15.000000,165.000000,25.990999
15.000000,180.000000,25.265417
15.000000,195.000000,25.847854
15.000000,210.000000,25.107580
15.000000,225.000000,25.736383
15.000000,240.000000,25.957714
15.000000,255.000000,25.961775
15.000000,270.000000,25.895601
15.000000,285.000000,25.811726
15.000000,300.000000,25.727527
15.000000,315.000000,25.648314
15.000000,330.000000,25.575358
15.000000,345.000000,25.507381
30.000000,0.000000,25.317765
30.000000,15.000000,25.261906
30.000000,30.000000,25.210781
30.000000,45.000000,25.163254
30.000000,60.000000,25.119405
30.000000,75.000000,25.079844
30.000000,90.000000,25.045597
30.000000,105.000000,25.018069
30.000000,120.000000,25.000509
30.000000,135.000000,25.001615
30.000000,150.000000,25.115448
30.000000,165.000000,25.917803
30.000000,180.000000,25.402585
30.000000,195.000000,25.742519
30.000000,210.000000,25.200220
30.000000,225.000000,25.836219
30.000000,240.000000,25.974764
30.000000,255.000000,25.917587
30.000000,270.000000,25.813360
30.000000,285.000000,25.706709
30.000000,300.000000,25.609296
30.000000,315.000000,25.522985
30.000000,330.000000,25.447009
30.000000,345.000000,25.378872
45.000000,0.000000,25.202199
45.000000,15.000000,25.154038
45.000000,30.000000,25.111897
45.000000,45.000000,25.074728
45.000000,60.000000,25.042615
45.000000,75.000000,25.016059
45.000000,90.000000,24.995718
45.000000,105.000000,24.981984
45.000000,120.000000,24.974135
45.000000,135.000000,24.969751
45.000000,150.000000,25.029683
45.000000,165.000000,25.815829
45.000000,180.000000,25.546184
45.000000,195.000000,25.620407
45.000000,210.000000,25.312667
45.000000,225.000000,25.912443
45.000000,240.000000,25.959084
45.000000,255.000000,25.844295
45.000000,270.000000,25.708760
45.000000,285.000000,25.586333
45.000000,300.000000,25.482179
45.000000,315.000000,25.394568
45.000000,330.000000,25.320720
45.000000,345.000000,25.257081
60.000000,0.000000,25.105636
60.000000,15.000000,25.068554
60.000000,30.000000,25.038369
60.000000,45.000000,25.014193
60.000000,60.000000,24.996098
60.000000,75.000000,24.984437
60.000000,90.000000,24.979457
60.000000,105.000000,24.980501
60.000000,120.000000,24.982937
60.000000,135.000000,24.973423
60.000000,150.000000,24.975285
60.000000,165.000000,25.691731
60.000000,180.000000,25.686405
60.000000,195.000000,25.489662
60.000000,210.000000,25.437050
60.000000,225.000000,25.960085
60.000000,240.000000,25.911687
60.000000,255.000000,25.746668
60.000000,270.000000,25.588703
60.000000,285.000000,25.458646
60.000000,300.000000,25.354772
60.000000,315.000000,25.271830
60.000000,330.000000,25.205192
60.000000,345.000000,25.150462
75.000000,0.000000,25.034909
75.000000,15.000000,25.011533
75.000000,30.000000,24.995449
75.000000,45.000000,24.985986
75.000000,60.000000,24.983197
75.000000,75.000000,24.987259
75.000000,90.000000,24.997986
75.000000,105.000000,25.013727
75.000000,120.000000,25.026278
75.000000,135.000000,25.012363
75.000000,150.000000,24.956173
75.000000,165.000000,25.553712
75.000000,180.000000,25.813822
75.000000,195.000000,25.359132
75.000000,210.000000,25.564784
75.000000,225.000000,25.976063
75.000000,240.000000,25.835641
75.000000,255.000000,25.631128
75.000000,270.000000,25.461216
75.000000,285.000000,25.332304
75.000000,300.000000,25.235815
75.000000,315.000000,25.163276
75.000000,330.000000,25.108496
75.000000,345.000000,25.066517
90.000000,0.000000,24.995072
90.000000,15.000000,24.987063
90.000000,30.000000,24.986223
90.000000,45.000000,24.992139
90.000000,60.000000,25.004843
90.000000,75.000000,25.024321
90.000000,90.000000,25.049970
90.000000,105.000000,25.079267
90.000000,120.000000,25.101039
90.000000,135.000000,25.083766
90.000000,150.000000,24.973729
90.000000,165.000000,25.411031
90.000000,180.000000,25.919996
90.000000,195.000000,25.237782
90.000000,210.000000,25.687180
90.000000,225.000000,25.959343
90.000000,240.000000,25.735902
90.000000,255.000000,25.505361
90.000000,270.000000,25.334939
90.000000,285.000000,25.216002
90.000000,300.000000,25.133590
90.000000,315.000000,25.076534
90.000000,330.000000,25.037471
90.000000,345.000000,25.011215
105.000000,0.000000,24.988990
105.000000,15.000000,24.996910
105.000000,30.000000,25.011356
105.000000,45.000000,25.032209
105.000000,60.000000,25.059475
105.000000,75.000000,25.092953
105.000000,90.000000,25.131674
105.000000,105.000000,25.172425
105.000000,120.000000,25.201872
105.000000,135.000000,25.182513
105.000000,150.000000,25.026685
105.000000,165.000000,25.273415
105.000000,180.000000,25.997992
105.000000,195.000000,25.134072
105.000000,210.000000,25.796026
105.000000,225.000000,25.911006
105.000000,240.000000,25.619036
105.000000,255.000000,25.377852
105.000000,270.000000,25.218561
105.000000,285.000000,25.117854
105.000000,300.000000,25.055305
105.000000,315.000000,25.017765
105.000000,330.000000,24.997192
105.000000,345.000000,24.988526
120.000000,0.000000,25.017102
120.000000,15.000000,25.040361
120.000000,30.000000,25.069038
120.000000,45.000000,25.103313
120.000000,60.000000,25.143170
120.000000,75.000000,25.188246
120.000000,90.000000,25.237273
120.000000,105.000000,25.286589
120.000000,120.000000,25.321643
120.000000,135.000000,25.301603
120.000000,150.000000,25.111222
120.000000,165.000000,25.150398
120.000000,180.000000,26.042765
120.000000,195.000000,25.055325
120.000000,210.000000,25.884119
120.000000,225.000000,25.834182
120.000000,240.000000,25.492831
120.000000,255.000000,25.257330
120.000000,270.000000,25.120200
120.000000,285.000000,25.044799
120.000000,300.000000,25.006540
120.000000,315.000000,24.991182
120.000000,330.000000,24.990556
120.000000,345.000000,25.000083
135.000000,0.000000,25.077383
135.000000,15.000000,25.114294
135.000000,30.000000,25.155131
135.000000,45.000000,25.200368
135.000000,60.000000,25.249973
135.000000,75.000000,25.303447
135.000000,90.000000,25.359324
135.000000,105.000000,25.413753
135.000000,120.000000,25.451982
135.000000,135.000000,25.432695
135.000000,150.000000,25.221298
135.000000,165.000000,25.050634
135.000000,180.000000,26.051437
135.000000,195.000000,25.007162
135.000000,210.000000,25.945691
135.000000,225.000000,25.733878
135.000000,240.000000,25.365813
135.000000,255.000000,25.152164
135.000000,270.000000,25.046804
135.000000,285.000000,25.002048
135.000000,300.000000,24.990795
135.000000,315.000000,24.998698
135.000000,330.000000,25.018041
135.000000,345.000000,25.045052
150.000000,0.000000,25.165515
150.000000,15.000000,25.213429
150.000000,30.000000,25.263515
150.000000,45.000000,25.316507
150.000000,60.000000,25.372364
150.000000,75.000000,25.430492
150.000000,90.000000,25.489336
150.000000,105.000000,25.545124
150.000000,120.000000,25.583919
150.000000,135.000000,25.566743
150.000000,150.000000,25.349134
150.000000,165.000000,24.981235
150.000000,180.000000,26.023456
150.000000,195.000000,24.993050
150.000000,210.000000,25.976746
150.000000,225.000000,25.616701
150.000000,240.000000,25.246691
150.000000,255.000000,25.069752
150.000000,270.000000,25.003614
150.000000,285.000000,24.992675
150.000000,300.000000,25.009206
150.000000,315.000000,25.039772
150.000000,330.000000,25.077668
150.000000,345.000000,25.120204
165.000000,0.000000,25.275235
165.000000,15.000000,25.330760
165.000000,30.000000,25.386570
165.000000,45.000000,25.443611
165.000000,60.000000,25.501840
165.000000,75.000000,25.560615
165.000000,90.000000,25.618398
165.000000,105.000000,25.671755
165.000000,120.000000,25.708503
165.000000,135.000000,25.694637
165.000000,150.000000,25.485821
165.000000,165.000000,24.947196
165.000000,180.000000,25.960612
165.000000,195.000000,25.014005
165.000000,210.000000,25.975278
165.000000,225.000000,25.490462
165.000000,240.000000,25.143748
165.000000,255.000000,25.015959
165.000000,270.000000,24.993731
165.000000,285.000000,25.017356
165.000000,300.000000,25.060446
165.000000,315.000000,25.111451
165.000000,330.000000,25.165164
165.000000,345.000000,25.220174
180.000000,0.000000,25.398841
180.000000,15.000000,25.458099
180.000000,30.000000,25.515762
180.000000,45.000000,25.572921
180.000000,60.000000,25.629539
180.000000,75.000000,25.684967
180.000000,90.000000,25.738254
180.000000,105.000000,25.785266
180.000000,120.000000,25.817409
180.000000,135.000000,25.807812
180.000000,150.000000,25.621979
180.000000,165.000000,24.950983
180.000000,180.000000,25.866704
180.000000,195.000000,25.068517
180.000000,210.000000,25.941382
180.000000,225.000000,25.363696
180.000000,240.000000,25.064236
180.000000,255.000000,24.994622
180.000000,270.000000,25.017869
180.000000,285.000000,25.074314
180.000000,300.000000,25.141516
180.000000,315.000000,25.208614
180.000000,330.000000,25.274737
180.000000,345.000000,25.337903
195.000000,0.000000,25.527773
195.000000,15.000000,25.586687
195.000000,30.000000,25.642260
195.000000,45.000000,25.695660
195.000000,60.000000,25.746848
195.000000,75.000000,25.795216
195.000000,90.000000,25.839566
195.000000,105.000000,25.877787
195.000000,120.000000,25.903456
195.000000,135.000000,25.898794
195.000000,150.000000,25.748408
195.000000,165.000000,24.992323
195.000000,180.000000,25.748580
195.000000,195.000000,25.152667
195.000000,210.000000,25.877246
195.000000,225.000000,25.245095
195.000000,240.000000,25.013819
195.000000,255.000000,25.007337
195.000000,270.000000,25.074290
